,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
37,0,0,0,0,0,0,0,0,236,236,236,236,236,236,236,236,236,236,236,236,0,0,0,0,0,0,0,0,262,262,261,261,259,259,259,258
38,0,0,0,0,0,0,0,0,237,237,237,237,237,237,237,237,237,237,237,237,0,0,0,0,0,0,0,0,0,0,0,0,259,259,259,258
39,0,0,0,0,0,0,0,0,237,237,237,237,237,237,237,237,237,237,237,237,0,0,0,0,0,0,0,0,0,258,258,258,257,257,257,257
40,0,0,0,0,0,0,0,0,237,237,237,237,237,237,237,237,237,237,237,237,0,0,0,0,0,0,0,0,0,256,256,256,256,256,256,256
41,0,0,0,0,0,0,0,0,238,238,238,237,237,237,237,237,237,237,237,237,0,0,0,0,0,0,0,0,0,256,256,256,256,256,256,256
42,0,0,0,0,0,0,0,0,238,238,238,237,237,237,237,237,237,237,237,237,0,0,0,0,0,0,0,0,0,254,254,254,254,254,254,255
43,0,0,0,0,0,0,0,0,0,0,238,238,238,238,238,238,238,238,238,0,0,0,0,0,0,0,0,0,253,253,253,253,253,253,254,254
44,0,0,0,0,0,0,0,0,238,238,238,238,238,238,238,238,238,238,238,0,0,0,0,0,0,0,0,0,253,253,253,253,253,253,254,254
45,0,0,0,0,0,0,0,0,238,238,238,238,238,238,238,238,238,238,238,0,0,0,0,0,0,252,252,252,252,252,252,253,253,253,253,253
46,0,0,0,0,0,0,0,0,239,239,239,239,239,239,239,239,239,0,0,0,0,0,0,0,0,252,252,252,252,252,252,253,253,253,253,253
47,0,0,0,0,0,0,240,240,239,239,239,239,239,239,239,239,239,0,0,0,0,0,0,0,0,251,251,251,251,252,252,252,252,252,252,252
48,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,241,0,0,0,0,0,0,0,250,250,250,251,251,251,251,251,251,251,251
49,0,0,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,241,0,0,0,0,0,0,0,250,250,250,251,251,251,251,251,251,251,251
50,0,0,0,0,0,0,241,241,240,240,240,240,240,240,240,240,240,241,0,0,0,0,249,249,249,249,250,250,250,250,250,250,250,250,251,251
51,0,0,0,0,0,0,241,241,241,241,241,241,241,241,241,241,241,241,0,0,0,0,249,249,248,248,248,249,249,249,249,250,250,250,250,250
52,0,0,0,0,0,241,241,241,241,241,241,241,241,241,241,241,241,242,0,0,0,0,0,0,248,248,248,249,249,249,249,250,250,250,250,250
53,0,0,0,0,0,241,241,241,241,241,241,241,241,241,241,241,241,242,243,0,0,0,0,0,248,248,248,248,249,249,249,249,249,249,249,249
54,0,0,0,0,0,0,241,241,241,241,241,241,241,242,242,242,242,242,243,0,0,0,0,0,248,248,247,247,248,248,248,248,248,248,248,248
55,0,0,0,243,243,0,241,241,241,241,241,241,241,242,242,242,242,242,243,244,244,245,246,246,247,247,247,247,248,248,248,248,248,248,248,248
56,0,0,0,243,243,243,242,242,241,241,242,242,242,242,242,242,242,242,243,244,244,245,245,245,246,246,246,247,247,247,247,247,247,247,247,247
57,0,0,0,244,243,243,242,242,242,242,242,242,242,242,242,242,243,243,243,244,244,245,245,245,246,246,246,247,247,247,247,247,247,247,247,247
58,0,0,0,244,243,243,242,242,242,242,242,242,242,242,242,242,243,243,243,244,244,244,245,245,245,246,246,246,246,246,246,246,246,246,246,246
59,246,246,0,0,243,243,243,243,242,242,242,242,242,242,242,242,242,243,243,243,244,244,244,244,245,245,245,245,245,245,245,245,245,245,245,245
60,246,246,0,0,0,0,243,243,242,242,242,242,242,242,242,242,242,243,243,243,244,244,244,244,245,245,245,245,245,245,245,245,245,245,245,245
61,246,245,245,0,0,0,243,243,242,242,242,242,242,242,242,242,242,243,243,243,243,244,244,244,244,244,244,244,244,244,244,244,244,244,244,244
62,246,245,245,0,0,0,0,243,243,242,242,242,242,242,242,242,242,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243
63,245,244,244,244,244,0,0,0,242,242,242,242,242,242,242,242,242,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243
64,245,244,244,244,244,0,242,242,242,242,242,242,242,242,242,242,242,242,242,242,243,243,243,243,243,243,243,243,242,242,242,243,243,243,243,243
